variant,nodes,np,ppn,size,run,seconds,gflops,checksum
mpi_matrix,1,1,1,1024,1,0.259026,8.290599,32534174568.0000
mpi_matrix,1,1,1,1024,2,0.241193,8.903582,32534174568.0000
mpi_matrix,1,1,1,1024,3,0.227949,9.420895,32534174568.0000
mpi_matrix,1,1,1,2048,1,3.644547,4.713856,259931255716.0000
mpi_matrix,1,1,1,2048,2,3.948788,4.350669,259931255716.0000
mpi_matrix,1,1,1,2048,3,3.761029,4.567864,259931255716.0000
mpi_matrix,4,4,1,1024,1,0.144476,14.863986,32534174568.0000
mpi_matrix,4,4,1,1024,2,0.162138,13.244793,32534174568.0000
mpi_matrix,4,4,1,1024,3,0.160569,13.374230,32534174568.0000
mpi_matrix,4,8,2,1024,1,0.156843,13.691940,32534174568.0000
mpi_matrix,4,8,2,1024,2,0.197756,10.859244,32534174568.0000
mpi_matrix,4,8,2,1024,3,0.163116,13.165339,32534174568.0000
mpi_matrix,4,4,1,2048,1,1.756995,9.777987,259931255716.0000
mpi_matrix,4,4,1,2048,2,1.857912,9.246871,259931255716.0000
mpi_matrix,4,4,1,2048,3,1.745963,9.839769,259931255716.0000
mpi_matrix,4,8,2,2048,1,1.522314,11.285364,259931255716.0000
mpi_matrix,4,8,2,2048,2,1.480524,11.603907,259931255716.0000
mpi_matrix,4,8,2,2048,3,1.511262,11.367899,259931255716.0000
mpi_matrix,8,8,1,1024,1,0.203551,10.550088,32534174568.0000
mpi_matrix,8,8,1,1024,2,0.204561,10.498026,32534174568.0000
mpi_matrix,8,8,1,1024,3,0.169972,12.634328,32534174568.0000
mpi_matrix,8,8,1,2048,1,1.499272,11.458805,259931255716.0000
mpi_matrix,8,8,1,2048,2,1.612716,10.652754,259931255716.0000
mpi_matrix,8,8,1,2048,3,1.485153,11.567746,259931255716.0000
mpi_matrix,1,1,1,4096,1,32.301954,4.254819,2078737342310.0000
mpi_matrix,4,4,1,4096,1,14.553244,9.443871,2078737342310.0000
mpi_matrix,4,8,2,4096,1,12.218874,11.248087,2078737342310.0000
mpi_matrix,8,8,1,4096,1,12.355171,11.124002,2078737342310.0000
